2026-07-03 00:23:33.466 +00:00 [INF] Maintenance purge removed 1 expired session(s) and 6 expired cache entry(ies).
2026-07-03 00:24:15.857 +00:00 [INF] Proxied GET https://a.pub.network/wenxuecity-com/pubfig.min.js → 200 via http in 18ms (76597B) [f604b2809d104f85bef1cace8b619777]
2026-07-03 00:24:15.997 +00:00 [INF] Proxied GET https://www.googletagmanager.com/gtag/js?id=***REDACTED*** → 200 via http in 110ms (486791B) [80bbbf5464f64c15b57ae01b4c7b930c]
2026-07-03 00:24:16.070 +00:00 [INF] Proxied GET https://adserver.wenxuecity.com/202606/ChinaGate_355x40.jpg → 200 via http in 12ms (24641B) [006a32025aff43019500b0a90a4482b1]
2026-07-03 00:24:16.095 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/btn_searchbox.gif → 200 via http in 8ms (401B) [747e21c53e1447e7ba18d4330d94c502]
2026-07-03 00:24:16.217 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/52/03/325203_120_120.png?rand=***REDACTED*** → 200 via http in 109ms (25974B) [03024c0567d7467d9389ca396ef166ee]
2026-07-03 00:24:16.242 +00:00 [INF] Proxied GET https://www.wenxuecity.com/radio/img/gold.png → 200 via http in 7ms (5403B) [3f9a663020e844e1ae0174d705a02a3f]
2026-07-03 00:24:16.268 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/79/30/517930_120_120.png?rand=***REDACTED*** → 200 via http in 13ms (25079B) [7b44f1a91d1247678073954619ec6136]
2026-07-03 00:24:16.307 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/88/29/1038829_120_120.jpg?rand=***REDACTED*** → 200 via http in 20ms (4126B) [9d4f6a0787ba4163b53ffa905ba8671b]
2026-07-03 00:24:16.339 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/49/59/1074959_120_120.jpg?rand=***REDACTED*** → 200 via http in 14ms (5243B) [cd762afc771e4a6597cdbfc9728a6ddd]
2026-07-03 00:24:16.368 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/11/94/991194_120_120.jpg?rand=***REDACTED*** → 200 via http in 12ms (3084B) [e8d588918b1946d784daf1b12eb8aa72]
2026-07-03 00:24:16.398 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/23/68/432368_120_120.jpg?rand=***REDACTED*** → 200 via http in 14ms (3786B) [5af8646065fb4cf28e4fcfe9312bb94f]
2026-07-03 00:24:16.458 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/45/13/1134513_120_120.png?rand=***REDACTED*** → 200 via http in 27ms (27474B) [589971a51baa4951ae7f8761237d8f79]
2026-07-03 00:24:16.491 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/55/92/1035592_120_120.jpg?rand=***REDACTED*** → 200 via http in 13ms (5642B) [0584c4152d8f4ddcbb1f735fa367b8db]
2026-07-03 00:24:16.524 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/31/91/1123191_120_120.png?rand=***REDACTED*** → 200 via http in 13ms (30970B) [951585b0d2d7464f837c4d93ab094718]
2026-07-03 00:24:16.556 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/96/48/1039648_120_120.jpg?rand=***REDACTED*** → 200 via http in 13ms (2148B) [59715013bda04143a3e84f458adac07a]
2026-07-03 00:24:16.593 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/03/45/1110345_120_120.jpg?rand=***REDACTED*** → 200 via http in 14ms (4835B) [e89f506629164812879fc78c20dce3d5]
2026-07-03 00:24:16.628 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/80/64/1108064_120_120.jpg?rand=***REDACTED*** → 200 via http in 17ms (5463B) [8e9c6bcfc54d406f88771576b24de1a9]
2026-07-03 00:24:16.701 +00:00 [INF] Proxied GET https://www.wenxuecity.com/radio/img/df_avatar1.png → 200 via http in 17ms (21975B) [014b063fd2ee479091dcb4187ba68286]
2026-07-03 00:24:16.802 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/album/11/64/1164_120_120.png?rand=***REDACTED*** → 200 via http in 14ms (8910B) [35bc9b1c8b494b338292159710ea65c1]
2026-07-03 00:24:16.878 +00:00 [INF] Proxied GET https://www.wenxuecity.com/radio/img/v_small.png → 200 via http in 9ms (3155B) [a898a465be23470db84d91d3ecf5f976]
2026-07-03 00:24:16.915 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/album/04/91/491_120_120.jpg?rand=***REDACTED*** → 200 via http in 13ms (3813B) [6faf87764d0240a293d21da142daa69c]
2026-07-03 00:24:16.943 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/album/02/14/214_120_120.png?rand=***REDACTED*** → 200 via http in 13ms (30085B) [20e1df4fba414007a3f19fbc00783d25]
2026-07-03 00:24:16.974 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/album/01/83/183_120_120.jpg?rand=***REDACTED*** → 200 via http in 13ms (5396B) [76e42fe1ce4a482984b52b8364e1ff4b]
2026-07-03 00:24:17.002 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/album/01/41/141_120_120.jpg?rand=***REDACTED*** → 200 via http in 14ms (4724B) [0f23c13dfd254a3f90bb3095282f0d6f]
2026-07-03 00:24:17.030 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/album/12/33/1233_120_120.jpg?rand=***REDACTED*** → 200 via http in 14ms (2856B) [7e9dd59869ce48f8bb06e4d77e78925b]
2026-07-03 00:24:17.175 +00:00 [INF] Proxied GET https://html-load.cc/script/d3d3Lndlbnh1ZWNpdHkuY29t.js → 200 via http in 88ms (473367B) [03e23d0d60a546f5a756c7513183b153]
2026-07-03 00:24:17.234 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/bbgra1.png → 200 via http in 8ms (54946B) [1d222fd7af4941328e9558505b348ec2]
2026-07-03 00:24:17.256 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/bbg1.webp → 200 via http in 7ms (24122B) [18d47503cc7e484a9c615ab9ad1eea95]
2026-07-03 00:24:17.275 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/bg_menubar.gif → 200 via http in 6ms (73B) [02ea0be9648c45ab8ea0eb1b58ecd924]
2026-07-03 00:24:17.294 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/bg_mainmenu_selected.gif → 200 via http in 6ms (927B) [5bba22daa2664146ba0babc3024356db]
2026-07-03 00:24:17.322 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/micw.svg → 200 via http in 13ms (1696B) [a3a5e32080ea4143b61d8a17909a7445]
2026-07-03 00:24:17.442 +00:00 [INF] Proxied GET https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202606250101/pubads_impl.js → 200 via http in 16ms (623876B) [458d3579f2654572b963d3fc5a1d4db1]
2026-07-03 00:24:17.517 +00:00 [INF] Proxied GET https://securepubads.g.doubleclick.net/pagead/ppub_config?ippd=***REDACTED***&pppnc=***REDACTED*** → 200 via http in 22ms (1990B) [ed88d2a772cf419999a901fb14756434]
2026-07-03 00:24:18.223 +00:00 [INF] Proxied GET https://srvb1.com/o.js?uid=***REDACTED*** → 200 via http in 116ms (2793B) [bd6146710f934b28ae9382f987cf0cfd]
2026-07-03 00:24:18.280 +00:00 [INF] Proxied GET https://www.wenxuecity.com/js/jquery.js → 200 via http in 45ms (91556B) [856d2a435a404ec7b994e7fa5ad53e6d]
2026-07-03 00:24:18.318 +00:00 [INF] Proxied GET https://www.wenxuecity.com/js/jquery.cookie.js → 200 via http in 8ms (1450B) [97f08f527f4243538271ede6db6b3430]
2026-07-03 00:24:18.447 +00:00 [INF] Proxied HEAD https://a.pub.network/core/imgs/1.png → 200 via http in 16ms (0B) [3d2b4ef36dfd472b86d8260636ddaa50]
2026-07-03 00:26:30.505 +00:00 [WRN] Overriding address(es) 'https://localhost:63061, http://localhost:63062'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead.
2026-07-03 00:26:30.856 +00:00 [INF] Now listening on: https://[::]:8443
2026-07-03 00:26:31.174 +00:00 [INF] Application started. Press Ctrl+C to shut down.
2026-07-03 00:26:31.462 +00:00 [INF] Hosting environment: Development
2026-07-03 00:26:31.470 +00:00 [INF] Content root path: C:\Projects\multi-clone-agent\artifacts\proweb-2\project\code\src\ProWeb.Server
2026-07-03 00:26:42.422 +00:00 [INF] Proxied GET https://www.wenxuecity.com/ → 200 via http in 291ms (424389B) [3eddfae2ddb443608774a3d17af91f80]
2026-07-03 00:26:42.705 +00:00 [INF] Proxied GET https://a.pub.network/wenxuecity-com/cls.css → 200 via http in 63ms (7436B) [10972f2481fc4c4bb4cbe573861472e0]
2026-07-03 00:26:42.804 +00:00 [INF] Proxied GET https://securepubads.g.doubleclick.net/tag/js/gpt.js?network-code=***REDACTED*** → 200 via http in 81ms (114226B) [a866061a516943c7a37703cdc8d8d999]
2026-07-03 00:26:42.836 +00:00 [INF] Proxied GET https://www.wenxuecity.com/css/nav_top.css?v4.3 → 200 via http in 13ms (2032B) [4f9fb425e82b4e9c9e69b893f5d309f5]
2026-07-03 00:26:42.856 +00:00 [INF] Proxied GET https://www.wenxuecity.com/css/homepage.css?v2.7 → 200 via http in 8ms (15409B) [4c1308824b3d442792da895ea40c97e8]
2026-07-03 00:26:42.898 +00:00 [INF] Proxied GET https://adserver.wenxuecity.com/202102/wxc_160_90_white.svg → 200 via http in 29ms (30537B) [de7961c4b45c4532a7468f785476296e]
2026-07-03 00:26:42.921 +00:00 [INF] Proxied GET https://adserver.wenxuecity.com/202507/000.JPG → 200 via http in 9ms (31853B) [a697e1ed2d3c43efa9473772916a9975]
2026-07-03 00:26:42.982 +00:00 [INF] Proxied GET https://adserver.wenxuecity.com/202606/160x90.png → 200 via http in 22ms (48959B) [b72aa6ec634144c8aa4db6eccfa1ba37]
2026-07-03 00:26:43.060 +00:00 [INF] Proxied GET https://adserver.wenxuecity.com/202606/deal.png → 200 via http in 14ms (38873B) [cab880fe3d044a41bd0cf86562a01d84]
2026-07-03 00:26:43.102 +00:00 [INF] Proxied GET https://adserver.wenxuecity.com/202605/dealam.jpg → 200 via http in 14ms (4025B) [7d32214d86ae459fb5eeac194fc232c7]
2026-07-03 00:26:43.304 +00:00 [INF] Proxied GET https://srvb1.com/o.js?uid=***REDACTED*** → 200 via http in 181ms (2793B) [e1e41cf696994f36bc677c60856e813f]
2026-07-03 00:26:43.353 +00:00 [INF] Proxied GET https://www.wenxuecity.com/js/jquery.js → 200 via http in 32ms (91556B) [360b3f14534449fcad65807b5323ebe5]
2026-07-03 00:26:43.387 +00:00 [INF] Proxied GET https://www.wenxuecity.com/js/jquery.cookie.js → 200 via http in 6ms (1450B) [cb5957e5a6234c4ab572ae01abbd810b]
2026-07-03 00:26:43.416 +00:00 [INF] Proxied GET https://www.wenxuecity.com/news/js/index_m.js → 200 via http in 13ms (571B) [d3976a5c497d4155a43113c4dc182b5b]
2026-07-03 00:26:43.455 +00:00 [INF] Proxied GET https://a.pub.network/wenxuecity-com/pubfig.min.js → 200 via http in 20ms (76597B) [8a851efd02b74c4ba82c14379b3eaff3]
2026-07-03 00:26:43.590 +00:00 [INF] Proxied GET https://www.googletagmanager.com/gtag/js?id=***REDACTED*** → 200 via http in 116ms (486845B) [c9421466af9d458592712e1358e90094]
2026-07-03 00:26:43.639 +00:00 [INF] Proxied GET https://adserver.wenxuecity.com/202606/ChinaGate_355x40.jpg → 200 via http in 8ms (24641B) [5882bf02f05f4e8095da6fe0274cfad3]
2026-07-03 00:26:43.662 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/btn_searchbox.gif → 200 via http in 6ms (401B) [cdec078aca7f4f89a51bd7c522da2600]
2026-07-03 00:26:43.699 +00:00 [INF] Proxied GET https://securepubads.g.doubleclick.net/pagead/ppub_config?ippd=***REDACTED***&pppnc=***REDACTED*** → 200 via http in 23ms (1990B) [74311f559d4d4edca7c8096486bd01f5]
2026-07-03 00:26:43.750 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/52/03/325203_120_120.png?rand=***REDACTED*** → 200 via http in 36ms (25974B) [256671da023641dbb906692fe0633165]
2026-07-03 00:26:43.780 +00:00 [INF] Proxied GET https://www.wenxuecity.com/radio/img/gold.png → 200 via http in 6ms (5403B) [34cd56151e3b46bb92a980325a408a5a]
2026-07-03 00:26:43.807 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/79/30/517930_120_120.png?rand=***REDACTED*** → 200 via http in 11ms (25079B) [68af7f2b143f4e32a4ac0857f16aa502]
2026-07-03 00:26:43.834 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/88/29/1038829_120_120.jpg?rand=***REDACTED*** → 200 via http in 12ms (4126B) [2b8ff1bb181d419ba176c78efe25c8f6]
2026-07-03 00:26:43.862 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/49/59/1074959_120_120.jpg?rand=***REDACTED*** → 200 via http in 14ms (5243B) [e57612ac23b944b289aea1a970ca9679]
2026-07-03 00:26:43.889 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/11/94/991194_120_120.jpg?rand=***REDACTED*** → 200 via http in 12ms (3084B) [39c3ee3cdb1d4bfc95c7d6cd90b6a72a]
2026-07-03 00:26:43.913 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/23/68/432368_120_120.jpg?rand=***REDACTED*** → 200 via http in 12ms (3786B) [bb625930becc46549aa490704a455e69]
2026-07-03 00:26:43.939 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/45/13/1134513_120_120.png?rand=***REDACTED*** → 200 via http in 12ms (27474B) [c9787f4bb55c4f7e92dfffa45194eba6]
2026-07-03 00:26:43.968 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/55/92/1035592_120_120.jpg?rand=***REDACTED*** → 200 via http in 14ms (5642B) [d0fbfb7943f740d492c8d0b4bf358bec]
2026-07-03 00:26:43.998 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/31/91/1123191_120_120.png?rand=***REDACTED*** → 200 via http in 14ms (30970B) [a465d4f735af4ba69e48d679f57a6dea]
2026-07-03 00:26:44.028 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/96/48/1039648_120_120.jpg?rand=***REDACTED*** → 200 via http in 12ms (2148B) [e6673093376945999a3475ba0ee2270b]
2026-07-03 00:26:44.054 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/03/45/1110345_120_120.jpg?rand=***REDACTED*** → 200 via http in 12ms (4835B) [3d511a1edb23450d95f6df42e0219279]
2026-07-03 00:26:44.091 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/avatar/80/64/1108064_120_120.jpg?rand=***REDACTED*** → 200 via http in 16ms (5463B) [b53f8a1b86b6441ca99908877f0928ea]
2026-07-03 00:26:44.119 +00:00 [INF] Proxied GET https://www.wenxuecity.com/radio/img/df_avatar1.png → 200 via http in 6ms (21975B) [60623a8ee6d3459bbef0d6cb29ad4e1b]
2026-07-03 00:26:44.148 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/album/11/64/1164_120_120.png?rand=***REDACTED*** → 200 via http in 12ms (8910B) [7ebfc55130ad42c78e0d0fc45f3f3ac2]
2026-07-03 00:26:44.166 +00:00 [INF] Proxied GET https://www.wenxuecity.com/radio/img/v_small.png → 200 via http in 6ms (3155B) [be5a8764726d406093d485a5d81e6a90]
2026-07-03 00:26:44.191 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/album/04/91/491_120_120.jpg?rand=***REDACTED*** → 200 via http in 12ms (3813B) [340a260a04294433a19e7c031296f6ea]
2026-07-03 00:26:44.216 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/album/02/14/214_120_120.png?rand=***REDACTED*** → 200 via http in 12ms (30085B) [97436ff7928d474a9d768e9af2c89be0]
2026-07-03 00:26:44.247 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/album/01/83/183_120_120.jpg?rand=***REDACTED*** → 200 via http in 11ms (5396B) [b10c4d5e50d74b168e4632661e81fbfa]
2026-07-03 00:26:44.272 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/album/01/41/141_120_120.jpg?rand=***REDACTED*** → 200 via http in 11ms (4724B) [19f901de16764af8a0dd1c6d7fb439e7]
2026-07-03 00:26:44.297 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/radio/album/12/33/1233_120_120.jpg?rand=***REDACTED*** → 200 via http in 13ms (2856B) [e8891836384d49d6b8f3de8ba66d3345]
2026-07-03 00:26:44.395 +00:00 [INF] Proxied GET https://html-load.cc/script/d3d3Lndlbnh1ZWNpdHkuY29t.js → 200 via http in 71ms (473367B) [37aa5258161f48ff997856fd2a52a5a9]
2026-07-03 00:26:44.521 +00:00 [INF] Proxied GET https://securepubads.g.doubleclick.net/pagead/managed/js/gpt/m202606250101/pubads_impl.js → 200 via http in 19ms (623876B) [e445fce34d6549eeb4e9c95d300c6686]
2026-07-03 00:26:44.583 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/bbgra1.png → 200 via http in 7ms (54946B) [b2e5bd2eaab94b8aa3bcbbab12155c53]
2026-07-03 00:26:44.606 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/bbg1.webp → 200 via http in 8ms (24122B) [d1ad3a95f3c645219586195f350660f8]
2026-07-03 00:26:44.626 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/bg_menubar.gif → 200 via http in 5ms (73B) [58c16f71f17b407d8d079ba0d6a986ae]
2026-07-03 00:26:44.646 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/bg_mainmenu_selected.gif → 200 via http in 5ms (927B) [0c6f7a5d82a94cb7bbe4a4298686fb6e]
2026-07-03 00:26:44.668 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/micw.svg → 200 via http in 7ms (1696B) [684e3c0f15c646cc86d12eaf80e49270]
2026-07-03 00:26:44.975 +00:00 [INF] Proxied GET https://srvb1.com/px.gif?ch=***REDACTED***&rn=***REDACTED*** → 200 via http in 24ms (842B) [2dec5e1041d04fb1846cf30aeb41dd40]
2026-07-03 00:26:45.018 +00:00 [INF] Proxied GET https://srvb1.com/px.gif?ch=***REDACTED***&rn=***REDACTED*** → 200 via http in 22ms (842B) [6fcf6482cbb84af382da01120720114d]
2026-07-03 00:26:45.597 +00:00 [INF] Proxied GET https://api.wenxuecity.com/members/script/members.php?unic=***REDACTED*** → 200 via http in 160ms (2330B) [7cc4098359524c9fb49cfef45c42cd91]
2026-07-03 00:26:45.649 +00:00 [INF] Proxied HEAD https://a.pub.network/core/imgs/1.png → 200 via http in 12ms (0B) [dffe93ca340144ab9b3a3a8d6cc55a21]
2026-07-03 00:26:45.748 +00:00 [INF] Proxied GET https://d.pub.network/v2/sites/wenxuecity-com/configs?env=***REDACTED*** → 200 via http in 77ms (200918B) [69c92b38b08544c0ad127ad3faa790f6]
2026-07-03 00:26:45.977 +00:00 [INF] Proxied GET https://www.wenxuecity.com/include/plugins/jquery.php?app=***REDACTED***&sess=***REDACTED***&func=***REDACTED***&ip=***REDACTED***&code=***REDACTED*** → 200 via http in 77ms (38B) [2ae0009dc4c04f8b89e2c7b1edcb3c7b]
2026-07-03 00:26:46.023 +00:00 [INF] Proxied GET https://srvb1.com/?uid=***REDACTED***&oab=***REDACTED*** → 200 via http in 27ms (732B) [4e0f3c205e5b431f84a7b84676f170e4]
2026-07-03 00:26:46.053 +00:00 [INF] Proxied GET https://a.pub.network/wenxuecity-com/fsdata.json → 200 via http in 13ms (177415B) [c7a1cece60b34c3e9553239e3b12bafa]
2026-07-03 00:26:46.110 +00:00 [INF] Proxied POST https://analytics.google.com/g/collect?v=***REDACTED***&tid=***REDACTED***&gtm=***REDACTED***&_p=***REDACTED***&_gaz=***REDACTED***&gcd=***REDACTED***&npa=***REDACTED***&dma=***REDACTED***&_eu=***REDACTED***&are=***REDACTED***&cid=***REDACTED***&frm=***REDACTED***&pscdl=***REDACTED***&rcb=***REDACTED***&sr=***REDACTED***&uaa=***REDACTED***&uab=***REDACTED***&uafvl=***REDACTED***&uam=***REDACTED***&uamb=***REDACTED***&uap=***REDACTED***&uapv=***REDACTED***&uaw=***REDACTED***&ul=***REDACTED***&gaf=***REDACTED***&_s=***REDACTED***&tag_exp=***REDACTED***&sid=***REDACTED***&sct=***REDACTED***&seg=***REDACTED***&dl=***REDACTED***&dt=***REDACTED***&en=***REDACTED***&_fv=***REDACTED***&_nsi=***REDACTED***&_ss=***REDACTED***&_ee=***REDACTED***&tfd=***REDACTED*** → 204 via http in 34ms (0B) [bdfac784ebee486c82c13d69f207e068]
2026-07-03 00:26:46.159 +00:00 [INF] Proxied POST https://stats.g.doubleclick.net/g/collect?v=***REDACTED***&tid=***REDACTED***&cid=***REDACTED***&gtm=***REDACTED***&rcb=***REDACTED***&aip=***REDACTED***&dma=***REDACTED***&gcd=***REDACTED***&npa=***REDACTED***&frm=***REDACTED***&tag_exp=***REDACTED*** → 204 via http in 32ms (0B) [dda1dc7a5dfc48f7badfc9bff743a233]
2026-07-03 00:26:46.712 +00:00 [INF] Proxied POST https://www.google.com/g/collect?v=***REDACTED***&tid=***REDACTED***&gtm=***REDACTED***&_p=***REDACTED***&_gaz=***REDACTED***&gcd=***REDACTED***&npa=***REDACTED***&dma=***REDACTED***&_eu=***REDACTED***&are=***REDACTED***&cid=***REDACTED***&frm=***REDACTED***&pscdl=***REDACTED***&rcb=***REDACTED***&sr=***REDACTED***&uaa=***REDACTED***&uab=***REDACTED***&uafvl=***REDACTED***&uam=***REDACTED***&uamb=***REDACTED***&uap=***REDACTED***&uapv=***REDACTED***&uaw=***REDACTED***&ul=***REDACTED***&gaf=***REDACTED***&_s=***REDACTED***&tag_exp=***REDACTED***&sid=***REDACTED***&sct=***REDACTED***&seg=***REDACTED***&dl=***REDACTED***&dt=***REDACTED***&en=***REDACTED***&_fv=***REDACTED***&_nsi=***REDACTED***&_ss=***REDACTED***&_ee=***REDACTED***&tfd=***REDACTED*** → 204 via http in 52ms (0B) [692473c2eee844d2a35d329e8c031158]
2026-07-03 00:26:46.779 +00:00 [INF] Proxied GET https://srvb1.com/?uid=***REDACTED***&oab=***REDACTED***&puburl=***REDACTED***&sessId=***REDACTED*** → 200 via http in 23ms (480B) [6a03f8403eb340b69012d4edbba829c6]
2026-07-03 00:26:46.803 +00:00 [INF] Proxied GET https://securepubads.g.doubleclick.net/pagead/managed/dict/m202606180101/gpt → 200 via http in 7ms (64887B) [5348c8edfdd14d6db27d5c969c6f1cf4]
2026-07-03 00:26:46.969 +00:00 [INF] Proxied GET https://static.srvb1.com/m.js → 200 via http in 138ms (8712B) [73100f999ccb4b0ca1dc4daa1c06456a]
2026-07-03 00:26:47.026 +00:00 [INF] Proxied GET https://www.wenxuecity.com/images/wxcs.gif → 200 via http in 5ms (2272B) [c83a25ee786a47008633e739847e8691]
2026-07-03 00:26:52.800 +00:00 [INF] Proxied GET https://www.wenxuecity.com/news/2026/07/02/126696276.html → 200 via http in 13ms (114510B) [19c1722f88a54c6ead0e66db6375a26b]
2026-07-03 00:26:52.934 +00:00 [INF] Proxied GET https://platform.twitter.com/widgets.js → 200 via http in 70ms (93967B) [5c6197ff45d64337af63731b3e8d3e1d]
2026-07-03 00:26:52.986 +00:00 [INF] Proxied GET https://a.pub.network/wenxuecity-com/cls.css → 200 via http in 30ms (7436B) [d0976855f57a4e0a8472d1a8bf390af7]
2026-07-03 00:26:53.007 +00:00 [INF] Proxied GET https://www.wenxuecity.com/news/css/news_view.css?v=***REDACTED*** → 200 via http in 7ms (18353B) [e4c9f08324154c6997cd85b25e1732d8]
2026-07-03 00:26:53.034 +00:00 [INF] Cache hit for ad260aee7b7242d29f1154724f9d273a (https://www.wenxuecity.com/css/nav_top.css?v4.3).
2026-07-03 00:26:53.039 +00:00 [INF] Proxied GET https://www.wenxuecity.com/css/nav_top.css?v4.3 → 200 via cache in 1ms (2032B) [ad260aee7b7242d29f1154724f9d273a]
2026-07-03 00:26:53.073 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/news/202607/02/ae4e20a61f09b1ea0da70742efd45056.webp → 200 via http in 12ms (38300B) [06f948024c9a4940bbfa2298c8b1f319]
2026-07-03 00:26:53.108 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/news/202607/02/214c3412af5fd6d33bc1ca09d84830e2.webp → 200 via http in 13ms (47172B) [d2c708e24c114508935829d792d95b60]
2026-07-03 00:26:53.181 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/news/202607/02/5fdaec6496218b481b33e9ab0a459c37.webp → 200 via http in 41ms (49992B) [068293f61446421a922fcc27c1100dfe]
2026-07-03 00:26:53.246 +00:00 [INF] Proxied GET https://www.wenxuecity.com/data/news/202607/02/e96ab2ae757729e6f7b49e09456fe95e.webp → 200 via http in 11ms (34594B) [58f19adba3d248a78c54fe02df944351]
